date,original,trend,seasonal,residual
2024-08-30,45.7045,,,
2024-08-31,45.7045,,,
2024-09-01,45.7045,,,
2024-09-02,45.5018,,,
2024-09-03,45.4622,,,
2024-09-04,45.5431,,,
2024-09-05,45.6065,,,
2024-09-06,45.5882,,,
2024-09-07,45.5882,,,
2024-09-08,45.5882,,,
2024-09-09,45.5574,,,
2024-09-10,45.383,,,
2024-09-11,45.3774,,,
2024-09-12,45.4894,,,
2024-09-13,45.4595,,,
2024-09-14,45.4595,,,
2024-09-15,45.4595,,,
2024-09-16,45.7959,,,
2024-09-17,46.0079,,,
2024-09-18,46.1245,,,
2024-09-19,46.1099,,,
2024-09-20,46.2396,,,
2024-09-21,46.2396,,,
2024-09-22,46.2396,,,
2024-09-23,46.1486,,,
2024-09-24,45.9928,,,
2024-09-25,46.0414,,,
2024-09-26,46.1958,,,
2024-09-27,45.9598,,,
2024-09-28,45.9598,,,
2024-09-29,45.9598,,,
2024-09-30,45.9541,,,
2024-10-01,46.1539,,,
2024-10-02,45.7106,,,
2024-10-03,45.7147,,,
2024-10-04,45.5236,,,
2024-10-05,45.5236,,,
2024-10-06,45.5236,,,
2024-10-07,45.4322,,,
2024-10-08,45.221,,,
2024-10-09,45.2437,,,
2024-10-10,45.1274,,,
2024-10-11,45.0477,,,
2024-10-12,45.0477,,,
2024-10-13,45.0477,,,
2024-10-14,45.0238,,,
2024-10-15,44.9575,,,
2024-10-16,44.9232,,,
2024-10-17,44.9132,,,
2024-10-18,44.7937,,,
2024-10-19,44.7937,,,
2024-10-20,44.7937,,,
2024-10-21,44.7272,,,
2024-10-22,44.813,,,
2024-10-23,44.7081,,,
2024-10-24,44.4355,,,
2024-10-25,44.5413,,,
2024-10-26,44.5413,,,
2024-10-27,44.5413,,,
2024-10-28,44.7136,,,
2024-10-29,44.6975,,,
2024-10-30,44.6074,,,
2024-10-31,44.635,,,
2024-11-01,44.8467,,,
2024-11-02,44.8467,,,
2024-11-03,44.8467,,,
2024-11-04,44.968,,,
2024-11-05,45.1417,,,
2024-11-06,45.1503,,,
2024-11-07,44.3374,,,
2024-11-08,44.5642,,,
2024-11-09,44.5642,,,
2024-11-10,44.5642,,,
2024-11-11,44.4864,,,
2024-11-12,43.9949,,,
2024-11-13,43.9416,,,
2024-11-14,43.9499,,,
2024-11-15,43.4677,,,
2024-11-16,43.4677,,,
2024-11-17,43.4677,,,
2024-11-18,43.6532,,,
2024-11-19,43.6345,,,
2024-11-20,43.691,,,
2024-11-21,43.5635,,,
2024-11-22,43.4659,,,
2024-11-23,43.4659,,,
2024-11-24,43.4659,,,
2024-11-25,42.9927,,,
2024-11-26,43.4733,,,
2024-11-27,43.6824,,,
2024-11-28,43.8017,,,
2024-11-29,43.8626,,,
2024-11-30,43.8626,,,
2024-12-01,43.8626,,,
2024-12-02,43.901,,,
